,utc-dt,mmsi,sog,cog,true_heading,delta
180,2021-06-01 15:29:26,257048880,11.300000190734863,306.8999938964844,315,8.100006103515625
182,2021-06-01 15:29:26,212115000,9.300000190734863,15.100000381469728,18,2.8999996185302717
183,2021-06-01 15:29:26,245232000,0.1000000014901161,271.3999938964844,11,-260.3999938964844
184,2021-06-01 15:29:27,212396000,12.800000190734863,156.89999389648438,149,-7.899993896484375
185,2021-06-01 15:29:27,244287000,25.700000762939453,28.0,33,5.0
186,2021-06-01 15:29:27,357314000,12.600000381469728,291.0,292,1.0
189,2021-06-01 15:29:28,249522000,9.600000381469728,41.0,45,4.0
190,2021-06-01 15:29:28,219964000,0.3000000119209289,206.3999938964844,71,-135.3999938964844
192,2021-06-01 15:29:28,248753000,9.300000190734863,118.9000015258789,117,-1.9000015258789062
193,2021-06-01 15:29:29,249040000,8.300000190734863,76.0,82,6.0
194,2021-06-01 15:29:29,244030516,4.800000190734863,107.0,105,-2.0
195,2021-06-01 15:29:29,244287000,25.799999237060547,27.0,34,7.0
196,2021-06-01 15:29:29,305149000,5.5,112.1999969482422,112,-0.1999969482422017
199,2021-06-01 15:29:29,314416000,11.800000190734863,298.70001220703125,299,0.29998779296875
201,2021-06-01 15:29:30,636017857,8.5,115.6999969482422,114,-1.6999969482422017
205,2021-06-01 15:29:31,304642000,16.600000381469727,294.0,299,5.0
207,2021-06-01 15:29:31,244287000,25.799999237060547,28.0,36,8.0
209,2021-06-01 15:29:31,249040000,8.300000190734863,77.0,83,6.0
212,2021-06-01 15:29:31,244100907,0.2000000029802322,257.20001220703125,326,68.79998779296875
213,2021-06-01 15:29:31,250005693,7.099999904632568,126.9000015258789,126,-0.9000015258789062
